No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender
1,HRMN-0001,glitch,mykonos,249000,50,XDP,"sicilian bergamot, apple, grapefruit, charred pineapple.","Lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine","white musk, cedarwood, moss, amber, patchouli, smoky notes",Day,unisex
2,HRMN-0002,invade,mykonos,249000,50,XDP,"pink pepper, lavender absolute, juniper.","cashmeran, cinnamon bark, caramel","amber, madagascar vanilla, drywoods",Night,unisex
3,HRMN-0003,Cafe Drops,mykonos,189000,50,XDP,"Orchid, Jasmine, coffee","Vanilla, Caramel, Tonka Bean, Milk","Amber, Musk, Wood, Patchouli",Night,Unisex
4,HRMN-0004,Pink Drops,mykonos,189000,50,XDP,"Strawberry Preserve, Almond, Caramel","Milk, Heliotrope","Vanilla, White musk",Night,Female
5,HRMN-0005,Pandan Sticky Rice,mykonos,169000,50,XDP,"Rice, Almond, Lactonic","Jasmine, Ylang ylang, Iily of the valley, Pandan","Ambery, vanilla, sandalwood",Versatile,Unisex
6,HRMN-0006,Down to Earth,mykonos,169000,50,XDP,"Fig, Matcha Green Tea, Bergamot, Incense, Cinnamon","Cashmere Wood, Orange, Figolide, Milky, Orcanox","Vetiver, Sandalwood, Santamanol, Cedar",Night,Male
7,HRMN-0007,Tea Poetry,mykonos,299000,100,XDP,"Rose, Jasmine, Ylang-Ylang","Candied fruit, Balsam, orange flower, pepper, smoked black tea","Honey, smoked black tea, Cedarwood",Versatile,Female
8,HRMN-0008,Milk Drops,mykonos,199000,50,XDP,"Floral bouquet, Milk","Milk, Green notes","Tonka bean, White musk, White wood",Versatile,Unisex
9,HRMN-0009,Utopia,mykonos,299000,100,XDP,"Calabrian Bergamot, White Tea, Fruits, Citrus","Iris, Jasmine Sambac, Ylang-Ylang","Cedarwood, White Musk",Versatile,Unisex
10,HRMN-0010,Intimate,mykonos,299000,100,XDP,"Raspberry Sorbet, Pink Pepper","Rose, Peony, Patchouli","Vanilla, Cashemere",Night,Female
11,HRMN-0011,Sparkling Rose,mykonos,299000,100,XDP,"Damask Rose, Orange, Geranium","May Rose, Sparkling Red Berries, Plum, Sandalwood","Patchouli, Amber, Guaiac wood, Musk",Day,Female
12,HRMN-0012,Pistachio Cream Cake,mykonos,139000,50,EDP,"Whipped cream accord, Pistachio, Crumble accord","Praline, Ice Cream","Orcanox, Musk, Tonka bean",Versatile,Unisex
13,HRMN-0013,Paradise,mykonos,149000,50,EDP,"Coconut, Mandarin Orange, Pear, Pineapple","Frangipani, Jasmine, Lily","Amber, Vanilla, Woody",Day,Unisex
14,HRMN-0014,Musk Aura,mykonos,279000,100,EDP,"Bergamot, Yuzu, Apple","Lily of the Valley, Sambac Jasmine, Ylang-ylang","Amber, Musk, Citrus, Nectarine",Versatile,Unisex
15,HRMN-0015,Rouge,mykonos,169000,50,EDP,"Green pear, Lemon blossom","Lily of the valley, Ambrette, Violet, Orris","Orcanox , Musks",Day,Female
16,HRMN-0016,Sansa,mykonos,279000,100,EDP,"Moss, Peach, Black Tea, Osmanthus.","Rose, Tuberose, Narcissus, Toffee.","Cedarwood, Orris Root, Vetiver, Dark Chocolate.",Night,Unisex
17,HRMN-0017,Aphrodite,mykonos,169000,50,EDP,"Jasmine, Burnt Cinnamon, Myrrh","Cedarwood, tonka bean, sandalwood","White musk, tobac, Vanilla, Mineral amber",Night,Unisex
18,HRMN-0018,Caramel Fudge,mykonos,149000,50,EDP,"Cookie Dough, Caramel, Vanilla","Caramel, Condensed Milk, Sea Salt","White Musk, Vanilla, Caramel, Praline",Night,Unisex
19,HRMN-0019,XoXo Rosy,mykonos,149000,50,EDP,"Turkish Rose, Pink Pepper, green notes","Turkish Rose, Rose Petals, Orange Jam , Red Berries","Amber, Musk, Rose",Versatile,Female
20,HRMN-0020,Matcha Latte,mykonos,169000,50,XDP,"Matcha Tea, White Chocolate","Jasmine, Tonka Bean","Vanilla, Milk",Night,Unisex
21,HRMN-0021,Enchanted,mykonos,169000,50,XDP,Mandarin Orange,"Peony, Rose, Violet, Peach"," Iris, Musk",Day,Female
22,HRMN-0022,Bonfire Vanilla,mykonos,169000,50,XDP,"Cloves, nutmeg, Pink pepper, orange zest & Vanilla","Smoked wood, Pepper, Guaic wood, Burnt brown sugar","Smoked Wood, Vanilla, marshmallow, caramel",Night,Unisex
23,HRMN-0023,Verve,mykonos,149000,50,XDP,"Vanilla, pear, Blackcurrant","Jasmine, Iris, Orange blossom","Praline, Vanilla, Tonka Bean",Night,Unisex
24,HRMN-0024,Stilettos,mykonos,149000,50,EDP,"Blackberry, Sour Cherry, Mandarin Orange","Violet, Jasmine","Cashmere wood, Amber, patchouli, Musk, Vanilla",Day,Female
25,HRMN-0025,Berry Caramel Pancake,mykonos,149000,50,EDP,"Mixed Berry coulis, brown sugar, lemon","Smoked brown sugar caramel, butter pancake","caramel, black berry, cashmere wood, tonka bean",Day,Unisex
26,HRMN-0026,Moroccan Vanilla,mykonos,299000,100,EDP,"Moroccan Vanilla, Bulgarian Rose, Rose, Lemon","Bulgarian Rose, Vanilla, Lemon, Sugar","White Musk, Sugar, Vanilla",Versatile,Unisex
27,HRMN-0027,Black Opera,mykonos,269000,100,EDP,"Vanilla, Orange Blossom, Pink Pepper","Licorice, Jasmine, Almond, Coffee","Cashmere wood, Jasmine, Vanilla, Patchouli",Night,Unisex
28,HRMN-0028,When In Paris,mykonos,149000,50,EDP,"Mandarin Orange, Lychee & Marigold","Wild Orchid, Vanilla Orchid, Magnolia","Apricot, Cashmere musk, Guaic Wood",Day,Unisex
29,HRMN-0029,Vanilla Clouds,mykonos,149000,50,EDP,"Vanilla, heliotrope, white floral accord","Vanilla, Marshmallow, Iris","Caramel, White Musk, Vanilla",Day,Unisex
30,HRMN-0030,Coconut Dreams,mykonos,149000,50,EDP,"Coconut, Aloe Vera, Lily of the Valley","Coconut Cream, Vanilla, Sweet Rice","Vanilla, Cashmere Wood​",Day,Unisex
31,HRMN-0031,Blossom,mykonos,139000,50,EDP,"Green Notes, Orange, Jasmine","Tuberose, Honeysuckle, Jasmine","Vanilla, Sandalwood",Day,Female
32,HRMN-0032,Ivory,mykonos,139000,50,EDP,"Strawberry, Pink, Grapefruit, Raspberry, Cassia","Lily of the valley, Violet, Red Peony, Lily","Vanilla, Cashmere wood, Musk",Day,Female
33,HRMN-0033,Chai Crema Latte,mykonos,299000,50,XDP,"Cinnamon, Gingerbread, Coffee, Cardamom","Tea Leaves, Caramel, Milk, Hazelnut","Vanilla, Tonka Bean, Musk, Milk",Day,Unisex
34,HRMN-0034,Luminos,mykonos,229000,50,XDP,"Apple, Banana (Part of The Blue Java Banana Accord)","White Florals, Rose, Tuberose, Lily of The Valley, Orange Blossom, Vanilla (Part of The Blue Java Banana Accord)","Amber, Edible Notes, Solar Accord, Amberwood, Cashmere, Ice Cream (Part of The Blue Java Banana)",Day,Unisex
35,HRMN-0035,Hawaiian Crush,mykonos,399000,100,EDP,"Lychee, Red Fruits, Black Tea","Rose, Lily Of The Valley, Lychee, Black tea","Amber, Patchouli, Musk, Incense",Day,Unisex
36,HRMN-0036,Adelina,mykonos,149000,50,EDP,"Green Notes, Orange, Jasmine","Honeysuckle, Tuberose, Jasmine","White Musk, Sandalwood",Day,Female
37,HRMN-0037,Satin Blanc,mykonos,399000,100,XDP,"Bergamot, Black Pepper, Green Apple","Cedar Wood, Jasmine Tea, Floral Bouquet, Aquatic","White Amber, Tonka Bean, Vanilla",Day,Unisex
38,HRMN-0038,Dark Secret,mykonos,299000,100,XDP,"Black Cherry, Saffron, Bergamo","Cinnamon, Nutmeg, Marigold, Jasmine, Praline"," Amber, Musk, Tonka Bean, Sandalwood",Day,Unisex
39,HRMN-0039,It's Not Ella,mykonos,179000,50,EDP,"Hazelnut, Praline","Creamy, Praline","Vanilla Caramel, Amber, Cedar",Day,Female
40,HRMN-0040,Slow Living,mykonos,149000,50,EDP,"Italian Lemon, Bergamot, Orange Blossom","Lavender, Hawthorn","Musk, Ambroxan​",Day,Unisex
41,HRMN-0041,Dolce Cherry,mykonos,179000,50,XDP,"Maraschino Cherry, Vanilla, Pink Pepper, Bergamot, cloves","Vanilla, Cinnamon leaves, Dried Apricot, plum, black cherry","Tonka bean, vetiver, cedar, amberwood, sandalwood",Night,Unisex
42,HRMN-0042,Alpha,HMNS,320.000,100,EDP,"CITRUS, GRASS",CEDARWOOD,GREEN TEA ESSENCE,Day,MALE
43,HRMN-0043,ORGSM,HMNS,323.000,100,EDP,RED APPLE,"ROSE, JASMINE, PEONY","VANILLA BEANS, AMBER",Night,FEMALE
